% Model,SOFC - BV-Fick.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 5 2024, 17:07"
% Table,"Solution 1/Stationary Solver 5, Segregated solver - "
% Iteration number,Error: Current Distribution,"Error: Velocity U_a, Pressure P_a",Error: Mass Fractions,"Error: Velocity U_f, Pressure P_f",Error: Mass Fractions (2)
100,6.285756422260108E-4,0.029197723004186858,3.720766595550955E-5,0.025787876333291528,1.325713328198037E-4
101,5.356369234520194E-4,0.01599539705305902,3.1015930536988854E-5,0.013081812636313047,1.0428807463870903E-4
102,4.536351193307267E-4,0.008632293224057489,2.5781083462740706E-5,0.006483797989553627,8.250095139316745E-5
103,3.8211757028709973E-4,0.004591379863091557,2.1392054225835686E-5,0.003150858117750308,6.55716446040939E-5
104,3.2034542909142004E-4,0.0023964269459638607,1.773663322564652E-5,0.00149753819278019,5.231693860540014E-5
105,2.674344061641536E-4,0.001214879563477793,1.4702160640707995E-5,6.946084814454477E-4,4.187581369217964E-5
106,2.2246189950324736E-4,5.86115598228593E-4,1.2187566894236688E-5,3.210181660121992E-4,3.3610698319655E-5
107,1.8450472853973494E-4,2.5793577327957095E-4,1.0105920297773214E-5,1.6719048861130856E-4,2.7041660458463894E-5
108,1.526589530497443E-4,9.475989797401953E-5,8.383442845802717E-6,1.1818756424613404E-4,2.180140452028097E-5
NaN,NaN,NaN,NaN,NaN,NaN
109,0.06719857897908427,0.13093923211018624,4.8768552224897644E-5,0.08556390685132637,1.5933011581809509E-4
110,0.0012664844841253806,0.06309680215814902,3.7718067439511624E-5,0.05690963875825696,1.3943773487583373E-4
111,7.124597266522639E-4,0.035202490037309825,3.140408731671113E-5,0.029871673809567484,1.0993720026595234E-4
112,6.156130921185892E-4,0.019091682261547126,2.6045260770813016E-5,0.014967834169448848,8.712101295316595E-5
113,5.289791125491789E-4,0.010065390370734723,2.1541726311514512E-5,0.007238606072073551,6.947034480646047E-5
114,4.5204690855432693E-4,0.005130258316074975,1.7787712415178324E-5,0.0033693441636260253,5.5685986044447177E-5
115,3.843996872076627E-4,0.002482980582609613,1.4676611063796464E-5,0.0014976646956793905,4.4833611895643254E-5
116,3.2545720269446074E-4,0.0010934886715754642,1.2107670117937404E-5,6.536344083161458E-4,3.6230453077552564E-5
117,2.745146972705178E-4,3.944752273269897E-4,9.99009656291494E-6,3.5594448203005174E-4,2.9369609347508953E-5
118,2.3079397836488203E-4,1.3262669747760668E-4,8.245725781879744E-6,2.982071312306567E-4,2.3871446167448618E-5
119,1.9350587844457678E-4,1.8540478514565123E-4,6.809199294939247E-6,2.7968597939508175E-4,1.944705212009469E-5
NaN,NaN,NaN,NaN,NaN,NaN
120,0.062331888028156514,0.16738655717600742,4.0398083678105455E-5,0.10428948762806348,1.2320401797760958E-4
121,0.00131802090806016,0.07905887007218244,3.0454213436969284E-5,0.07096903731346962,1.070869232785382E-4
122,8.11179547521965E-4,0.043839879627761126,2.510032214194285E-5,0.03709960388528517,8.501189679633876E-5
123,7.112317621926705E-4,0.023102087766722623,2.0620411171090244E-5,0.01801735233064282,6.790906476714623E-5
124,6.209741691067712E-4,0.011454077035033722,1.689052004407368E-5,0.008151186240184249,5.459587202690372E-5
125,5.389876403476603E-4,0.0051720493938938045,1.3810805362951468E-5,0.003366591000679475,4.414852974745447E-5
126,4.6551410789435815E-4,0.0019257002059145747,1.1281186756602913E-5,0.001330812901680442,3.5877102180447286E-5
127,4.002716166750561E-4,4.966012370639296E-4,9.21124083998818E-6,8.90647754813838E-4,2.9278028447618616E-5
128,3.4281834979834133E-4,6.639694719368269E-4,7.521125620806674E-6,9.332837252691064E-4,2.397861156961711E-5
129,2.9260621297344926E-4,9.056450853407373E-4,6.142240476316746E-6,9.22279904110611E-4,1.969843527925489E-5
130,2.490074283323182E-4,9.575879419374371E-4,5.0176653836018285E-6,8.455610947349119E-4,1.6224620004356008E-5
131,2.113696107901424E-4,9.095306111609231E-4,4.100470804902312E-6,7.422114200095094E-4,1.3393489953267848E-5
132,1.7903991447117357E-4,8.187090334631614E-4,3.352397349325125E-6,6.360081415365008E-4,1.107762984897535E-5
NaN,NaN,NaN,NaN,NaN,NaN
133,0.03914839811492468,0.02623526325178096,4.7831763822068295E-5,0.0819031271309391,8.269849169368978E-4
134,0.003852210184693374,0.015228389128061215,4.6657425843758785E-5,0.015349598161032475,1.1353665793918853E-4
135,8.067715733415943E-4,0.008228362972635177,3.977045628424366E-5,0.011715960091069316,1.0466675745111933E-4
136,9.110896478590252E-5,0.004395939189531179,3.3629548579699935E-5,0.005775313751974695,7.76811702486321E-5
137,4.318016423573896E-5,0.002369657499796603,2.8199800537752284E-5,0.002816150793320138,5.8161988968405996E-5
138,3.5240634233288346E-5,0.0012866859492245892,2.3664575978087774E-5,0.0013869328646534426,4.384719863870878E-5
139,2.8728848736829898E-5,7.027267551320591E-4,1.9780835914227513E-5,6.856836059582009E-4,3.32170112025709E-5
140,2.3332567132865135E-5,3.8560609359993583E-4,1.6545557951509913E-5,3.3935596952105486E-4,2.5264125213934582E-5
141,1.8883826546006953E-5,2.124030644669021E-4,1.3814888870527852E-5,1.6789083860521754E-4,1.927621973315384E-5
142,1.5236135110853144E-5,1.1735130875634076E-4,1.1541389881707336E-5,8.299678611634004E-5,1.4750896435298187E-5
143,1.22679741207579E-5,6.498709307482638E-5,9.634942129244253E-6,4.1063630719632944E-5,1.1327568008264193E-5
144,9.872811597049206E-6,3.604657618669839E-5,8.047561140591381E-6,2.0475540860027876E-5,8.745642373738532E-6
145,7.955827557696087E-6,2.0012628355642513E-5,6.720395388120291E-6,1.0506989988220674E-5,6.7948533180862375E-6
146,6.426306540709653E-6,1.111207616096693E-5,5.614968405430232E-6,5.817113260099418E-6,5.3131366853809226E-6
NaN,NaN,NaN,NaN,NaN,NaN
147,0.401107530967923,0.029800697264100645,6.6126111290698E-5,0.030114291768179573,3.3682251264657013E-4
148,3.8747683728010754E-4,0.015943244903015817,5.578347428470256E-5,0.017030911594382497,2.679236458695455E-4
149,2.0329655549643325E-4,0.008677489275883472,4.7085820895456524E-5,0.008523781489738388,1.9970178037179216E-4
150,1.5873153674931826E-4,0.004718940155388669,3.951262569060257E-5,0.004255209431002992,1.492370246390159E-4
151,1.2332868648011233E-4,0.002569177985198043,3.303071510976022E-5,0.002113887160273385,1.1182327791310063E-4
152,9.549449544642037E-5,0.001401111349338732,2.7551922409056493E-5,0.0010460482534755474,8.399189639084652E-5
153,7.375789201599193E-5,7.651211071831382E-4,2.2956159828519606E-5,5.155194332555141E-4,6.322460430488428E-5
154,5.686745532617147E-5,4.180110820630293E-4,1.911406982685162E-5,2.5283541155412436E-4,4.76855078025916E-5
155,4.379119472174391E-5,2.2818763501811557E-4,1.5910136638983353E-5,1.2333749356075336E-4,3.602997393663128E-5
NaN,NaN,NaN,NaN,NaN,NaN
156,0.24930648110483913,0.032866789110086676,8.250644133076357E-5,0.032936800995244486,3.5400970286530395E-4
157,4.354300058098463E-4,0.01757106183632192,6.940316079151732E-5,0.018795014050280744,2.822525247737271E-4
158,2.3701563921064498E-4,0.009573176460680554,5.8475895018790775E-5,0.00942606243611573,2.1114725800534193E-4
