% Model,SOFC - BV-MS.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 7 2024, 14:08"
% Table,"Solution 1/Stationary Solver 5, Segregated solver - "
% Iteration number,Error: Current Distribution,"Error: Velocity U_a, Pressure P_a",Error: Mass Fractions,"Error: Velocity U_f, Pressure P_f",Error: Mass Fractions (2)
94,1.7731869703535287E-4,0.005110565340059541,4.0108896858161023E-4,0.0020363855548912397,0.004597473963266724
95,1.6501399872883744E-4,0.003846433587093019,3.96629464547999E-4,0.0021340199480038053,0.004266379356747011
96,1.5357526707329258E-4,0.00288998742260309,3.9202777636597897E-4,0.002212292132823587,0.003961029273143264
97,1.4293279470575104E-4,0.0021676141731803537,3.8731693096186783E-4,0.002220300372318269,0.0036785598506413946
98,1.3302936597106249E-4,0.0016264646878440489,3.825344026307535E-4,0.002173652022475002,0.0034168995729150177
99,1.2381347115362817E-4,0.0012257931231471806,3.7771551068294915E-4,0.002091866952917509,0.0031743659739864793
100,1.1523749694887994E-4,9.337714800511473E-4,3.7289074757096966E-4,0.001990343399287339,0.0029494737046261176
101,1.0725705266528861E-4,7.255522628916362E-4,3.6808486433488906E-4,0.0018800543887405267,0.0027408780401941063
102,9.983084827728347E-5,5.814826155869917E-4,3.6331717760006805E-4,0.001767441417674727,0.0025473466725278644
103,9.292045540795543E-5,4.85499461154927E-4,3.5860212811281703E-4,0.0016561304325370069,0.0023677424793301363
104,8.649005211520327E-5,4.2405733246297147E-4,3.539500677742161E-4,0.0015488688720961131,0.0022010264055046733
105,8.050639304660414E-5,3.859031569642885E-4,3.493683168920069E-4,0.001446452049269685,0.002046241758783488
106,7.49385402345266E-5,3.623793248413461E-4,3.448615863091641E-4,0.001349539856180657,0.0019025017971703543
107,6.975765582316082E-5,3.4748720365173025E-4,3.404325046482904E-4,0.001258145533926071,0.0017689933364764935
108,6.493698854271309E-5,3.374451186968671E-4,3.3608205729381517E-4,0.0011724653290271624,0.001644968760437295
109,6.045166353934079E-5,3.3004595296790847E-4,3.318101689274756E-4,0.0010921854261463013,0.0015297364252846173
110,5.627853198968347E-5,3.2407399580937623E-4,3.276162760728734E-4,0.0010170984568450693,0.0014226555157057213
111,5.2396041684373426E-5,3.188949214536632E-4,3.2349904058118396E-4,9.470247550226585E-4,0.0013231349619843651
112,4.8784166167455466E-5,3.1418373922912675E-4,3.194566344869708E-4,8.816199276278604E-4,0.0012306281965819906
113,4.542427409924964E-5,3.0977932524369015E-4,3.154869569192204E-4,8.207294094935131E-4,0.0011446309379397634
114,4.229906521857565E-5,3.0560918403884263E-4,3.1158761108622963E-4,7.640104671441843E-4,9.559305098632194E-4
NaN,NaN,NaN,NaN,NaN,NaN
115,0.11869516265243707,0.04035829260094534,4.603751450695669E-4,0.04501515374786563,0.006696668192730643
116,3.209637598667416E-4,0.0236093703770499,4.53881420458698E-4,0.02457201698669101,0.006362514084496426
117,2.364929401094429E-4,0.015358286345481096,4.492217155420633E-4,0.011573373712890338,0.005897680884744149
118,2.2047256893302578E-4,0.010857161405029484,4.4476781795598505E-4,0.005193638951007031,0.0054729625938321385
119,2.0601048112226972E-4,0.008036253433275018,4.402140413363215E-4,0.0027177176252820537,0.005088055039228798
120,1.9262889474078057E-4,0.006042340464044003,4.3548882760701535E-4,0.002221184620021634,0.004737336067233077
121,1.8016239617741478E-4,0.004550728533739883,4.3058698242621227E-4,0.002315267751701604,0.004415061345441478
122,1.6851956500468814E-4,0.003418691152704945,4.255377695500598E-4,0.002424916525520796,0.004117011273063221
123,1.57635741627918E-4,0.00256228478648672,4.203808699318754E-4,0.0024591233257210366,0.0038403662701902872
124,1.4745773891404324E-4,0.0019205698396503874,4.151572041029042E-4,0.002428700406127845,0.0035831500627839063
125,1.379384925266012E-4,0.001446230269428021,4.099041301206664E-4,0.002354859091088402,0.0033438114132309984
126,1.290349378784199E-4,0.001102117050312671,4.046533363952119E-4,0.0022549131120118498,0.003120977982889456
127,1.2070676925498106E-4,8.589886299710355E-4,3.9943026052275E-4,0.0021416951813060772,0.002913447010429576
128,1.1291681706678741E-4,6.93415554783834E-4,3.942542593162093E-4,0.002023042587406621,0.002720111129412991
129,1.0563026290274791E-4,5.857383300723532E-4,3.89139663997733E-4,0.0019039922658694774,0.002539942028912113
130,9.881444948092384E-5,5.190223996697075E-4,3.8409673492239345E-4,0.0017880167520410509,0.002371991895841494
131,9.24388953423501E-5,4.791479147472599E-4,3.791319836215915E-4,0.001676626870337669,0.002215391755992523
132,8.647516226272896E-5,4.5549433290883E-4,3.7424977356224193E-4,0.001570893327137112,0.002069341318079855
133,8.089668959720686E-5,4.4096545618719216E-4,3.694522548363721E-4,0.0014710170493340492,0.001933101218691771
134,7.567863775249669E-5,4.312607928206027E-4,3.647400027103036E-4,0.0013772363873699003,0.0018059891211464518
135,7.079779779849517E-5,4.23997334611343E-4,3.6011273346330127E-4,0.0012891486419312822,0.0016873703879948664
136,6.623243753682925E-5,4.179146682581028E-4,3.555694387175192E-4,0.0012064011571156284,0.0015766575053362789
137,6.196224178389384E-5,4.1241478075783994E-4,3.51108355788097E-4,0.0011289192160452643,0.0014733040337934046
138,5.796820682476239E-5,4.072131032489316E-4,3.467274781810865E-4,0.001056381403843631,0.0013768069933500313
139,5.423260644218132E-5,4.0218687334698204E-4,3.424246659832749E-4,9.884736938009081E-4,0.0012866984997686023
140,5.073885761125107E-5,3.972930963892645E-4,3.3819755444842764E-4,9.249142144142156E-4,0.0012025452286758033
141,4.7471460141171287E-5,3.9253410677663787E-4,3.34043772839488E-4,8.654491849694701E-4,0.0011239437680967967
142,4.441590939498859E-5,3.8791443431864675E-4,3.2996090656254326E-4,8.09788197498928E-4,9.432058739821956E-4
NaN,NaN,NaN,NaN,NaN,NaN
143,0.10152404086841184,0.04863631664245731,4.7602303089789677E-4,0.05115279435725102,0.006692759905886807
144,3.3658660552950896E-4,0.02857236669000057,4.693571409654724E-4,0.029182664201263413,0.006382693369760172
145,2.5518646433599405E-4,0.018622685252729226,4.645383838381119E-4,0.014248191612152282,0.005944961560815229
146,2.3928929341680353E-4,0.013193970714884387,4.5982858090444034E-4,0.006544734621324924,0.0055420080936836955
147,2.248577660573882E-4,0.00979207831469731,4.550802868913194E-4,0.0033220969718700936,0.005175533138148305
148,2.1142512917159565E-4,0.007377602775684699,4.501462553417652E-4,0.002509678164463586,0.0048407439159994575
149,1.988430497207228E-4,0.005562341564239641,4.449999875160335E-4,0.002561228562618954,0.00453225701279041
150,1.8703008965096512E-4,0.004178968708742852,4.3967751356441064E-4,0.0026988041156357735,0.004246072374952738
151,1.7592852500407304E-4,0.0031296563005735185,4.342349340485285E-4,0.0027643607582882204,0.003979500584279985
152,1.6549040457668632E-4,0.0023420701833824784,4.2872428473153843E-4,0.0027548843050448704,0.0037306788041024993
153,1.5567349927755517E-4,0.001760039089071158,4.2318938467873513E-4,0.0026908673067951175,0.003498187052193322
154,1.4643966289417862E-4,0.0013389749896152254,4.176654744221433E-4,0.002592802397140585,0.0032808244121360023
155,1.3775373754446027E-4,0.0010436893826735372,4.121794678971932E-4,0.0024759591045240984,0.003077525863918822
156,1.2958301328281371E-4,8.454681897809701E-4,4.067514191363479E-4,0.0023513303272722067,0.0028873001097961845
157,1.2189662421659245E-4,7.197066140629683E-4,4.0139566607292016E-4,0.002225455383838505,0.0027092499700098146
158,1.146657882099247E-4,6.445241871036317E-4,3.961222214593846E-4,0.002101110601319363,0.0025425457858778257
159,1.0786343903029668E-4,6.016329903012238E-4,3.9093756638441463E-4,0.0019809080473029163,0.002386419487186684
160,1.0146413032657595E-4,5.774709690567655E-4,3.8584526871053793E-4,0.0018661127016522951,0.002240161357047531
161,9.544396138011191E-5,5.632790984165597E-4,3.8084692515526447E-4,0.001756400696416968,0.0021031119839009706
162,8.978045027482263E-5,5.539701522832002E-4,3.759426435922676E-4,0.0016527796715953503,0.001974664754638885
163,8.445250182286446E-5,5.468662807694182E-4,3.7113142614508826E-4,0.0015548249541772288,0.001854251056162195
164,7.944023585183256E-5,5.406402572086259E-4,3.664111729597943E-4,0.001462564622282968,0.001741344489040968
165,7.472498037697276E-5,5.346787209138055E-4,3.617795393997922E-4,0.0013756130703675596,0.0016354542756487015
166,7.02891589317299E-5,5.28733726842963E-4,3.5723454940104154E-4,0.0012935042434298973,0.0015361246662296511
167,6.611625294048884E-5,5.227690902106139E-4,3.527731943951835E-4,0.0012163694741863867,0.001442933532554107
168,6.219075914794721E-5,5.168043475007422E-4,3.4839238079161546E-4,0.0011438435835663323,0.0013554861125570907
169,5.849807436186995E-5,5.108714531946023E-4,3.440893160507566E-4,0.0010757662096650047,0.0012734172066036819
170,5.502449423683022E-5,5.050034773210084E-4,3.3986119033612274E-4,0.0010117503047054669,0.001196384354817939
171,5.1757099150144386E-5,4.992323221917125E-4,3.3570576957654366E-4,9.516065530987343E-4,0.0011240686630452114
172,4.8683743195697185E-5,4.935907021661345E-4,3.3162061525429025E-4,8.950266641039219E-4,9.483072330566514E-4
NaN,NaN,NaN,NaN,NaN,NaN
173,0.08883069871742394,0.06101145704751201,4.7601331433427634E-4,0.061101200488056076,0.006664931355220627
174,3.590793278590906E-4,0.03609761347514571,4.69115173273121E-4,0.036541507491281586,0.0063799937627723275
175,2.813016901395876E-4,0.023607472170100313,4.641407852755815E-4,0.01863201652315316,0.005972047571911528
176,2.654380913601528E-4,0.016781444999532987,4.5942747709096487E-4,0.008827969766075413,0.005594616428549796
177,2.509903563217061E-4,0.012506986287128973,4.5452584467591065E-4,0.004393907787121755,0.005249370880581901
178,2.3745183544585907E-4,0.009456532561865606,4.4935828039842384E-4,0.0029899682639119587,0.004933008443650809
179,2.2469331519616684E-4,0.007142919625263501,4.439582784340122E-4,0.0029227243612432612,0.004640826967333725
180,2.126460068112821E-4,0.005365587487010918,4.383952593288074E-4,0.0031019333246183585,0.004368984154110471
181,2.0125770751603248E-4,0.004010266352346271,4.327325405302703E-4,0.0032169740337008334,0.004114899625107291
182,1.9048541753232065E-4,0.002989964376072787,4.270237926522212E-4,0.003237268539274875,0.003876807352632429
183,1.802916418726799E-4,0.0022355804910011517,4.2131169153776526E-4,0.0031871370343453955,0.003653414638677119
184,1.7064340075511412E-4,0.0016920567296175048,4.1562957113878214E-4,0.00309195992331106,0.0034436635848629866
185,1.615106338268596E-4,0.0013154182583966514,4.100026293402427E-4,0.0029710647304493298,0.003246628576359007
186,1.528654854558105E-4,0.0010689460627191054,4.044491307742633E-4,0.0028370606455834016,0.0030614704123980083
