% Model,SOFC - BV-MS.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 7 2024, 14:07"
% Table,Probe Table - Average Current Density - 
% V_cell (V),i0ref_f (A/cm^2),"Average cell current density (A/cm^2), Domain Probe - Average Current Density"
0.05,0.4,2.0044941554649696
0.15000000000000002,0.4,1.8075456845699203
0.25,0.4,1.6018265293108478
0.35000000000000003,0.4,1.3967319934097142
0.45,0.4,1.196219585428686
0.55,0.4,0.9986806449376565
0.6500000000000001,0.4,0.8062656031050888
0.7500000000000001,0.4,0.6199554468921682
0.8500000000000001,0.4,0.442451561801114
0.9500000000000001,0.4,0.2693829191277096
1.05,0.4,0.13205902390054644
1.1500000000000001,0.4,0.04196599228511188
0.05,0.6,2.0340723976033117
0.15000000000000002,0.6,1.8557696921357307
0.25,0.6,1.6456564800333582
0.35000000000000003,0.6,1.4390517327563543
0.45,0.6,1.2342782813445392
0.55,0.6,1.0332627422775231
0.6500000000000001,0.6,0.8360543960516224
0.7500000000000001,0.6,0.6456319525065095
0.8500000000000001,0.6,0.46278863482966576
0.9500000000000001,0.6,0.28909994603221567
1.05,0.6,0.13526769195319693
1.1500000000000001,0.6,0.04162911235057804
0.05,0.8,2.0555142774844533
0.15000000000000002,0.8,1.8903705845326995
0.25,0.8,1.6788246672469258
0.35000000000000003,0.8,1.468803273931874
0.45,0.8,1.2617610006793696
0.55,0.8,1.0585635684399832
0.6500000000000001,0.8,0.8589788234858344
0.7500000000000001,0.8,0.6648363255226601
0.8500000000000001,0.8,0.47879729445079805
0.9500000000000001,0.8,0.3008755105470363
1.05,0.8,0.1372845428256553
1.1500000000000001,0.8,0.0414901208874946
