% Model,SOFC - BV-Fick.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 6 2024, 04:26"
% Table,Probe Table - Average Current Density - 
% V_cell (V),i0ref_f (A/cm^2),"Average cell current density (A/cm^2), Domain Probe - Average Current Density"
0.05,0.4,2.134700229013762
0.15000000000000002,0.4,1.9324164310686462
0.25,0.4,1.7323970296858957
0.35000000000000003,0.4,1.535713423299875
0.45,0.4,1.3439887997470452
0.55,0.4,1.157623541913762
0.6500000000000001,0.4,0.9775966416127002
0.7500000000000001,0.4,0.8051723084801578
0.8500000000000001,0.4,0.6416231872075119
0.9500000000000001,0.4,0.4897011018108802
1.05,0.4,0.35156669959575176
1.1500000000000001,0.4,0.23104221530864136
0.05,0.6,2.1958877289794807
0.15000000000000002,0.6,1.9941674920805916
0.25,0.6,1.7925350559631934
0.35000000000000003,0.6,1.5932891521208439
0.45,0.6,1.3989139578134104
0.55,0.6,1.2094840884630669
0.6500000000000001,0.6,1.025846943047483
0.7500000000000001,0.6,0.8491586858706233
0.8500000000000001,0.6,0.6802508636554085
0.9500000000000001,0.6,0.5224424960307915
1.05,0.6,0.3771235502744102
1.1500000000000001,0.6,0.2493467067481376
0.05,0.8,2.238615216231121
0.15000000000000002,0.8,2.0377072720270837
0.25,0.8,1.8351143876728617
0.35000000000000003,0.8,1.63397521077147
0.45,0.8,1.4376737873280971
0.55,0.8,1.2460623778481963
0.6500000000000001,0.8,1.0598786902543629
0.7500000000000001,0.8,0.8801978082739367
0.8500000000000001,0.8,0.7074400940181141
0.9500000000000001,0.8,0.5446984217676334
1.05,0.8,0.3949393842132464
1.1500000000000001,0.8,0.26151653929675245
