% Model,SOFC - BV-MS.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 7 2024, 14:07"
% Table,Probe Table - Average Power - 
% V_cell (V),i0ref_f (A/cm^2),Power (W/cm^2)
0.05,0.4,0.10022470777324848
0.15000000000000002,0.4,0.27113185268548806
0.25,0.4,0.40045663232771195
0.35000000000000003,0.4,0.48885619769340005
0.45,0.4,0.5382988134429086
0.55,0.4,0.5492743547157112
0.6500000000000001,0.4,0.5240726420183078
0.7500000000000001,0.4,0.46496658516912626
0.8500000000000001,0.4,0.37608382753094693
0.9500000000000001,0.4,0.25591377317132413
1.05,0.4,0.13866197509557376
1.1500000000000001,0.4,0.048260891127878666
0.05,0.6,0.1017036198801656
0.15000000000000002,0.6,0.27836545382035965
0.25,0.6,0.41141412000833955
0.35000000000000003,0.6,0.503668106464724
0.45,0.6,0.5554252266050427
0.55,0.6,0.5682945082526378
0.6500000000000001,0.6,0.5434353574335546
0.7500000000000001,0.6,0.4842239643798822
0.8500000000000001,0.6,0.3933703396052159
0.9500000000000001,0.6,0.2746449487306049
1.05,0.6,0.14203107655085678
1.1500000000000001,0.6,0.04787347920316475
0.05,0.8,0.10277571387422266
0.15000000000000002,0.8,0.2835555876799049
0.25,0.8,0.41970616681173145
0.35000000000000003,0.8,0.5140811458761559
0.45,0.8,0.5677924503057163
0.55,0.8,0.5822099626419908
0.6500000000000001,0.8,0.5583362352657926
0.7500000000000001,0.8,0.4986272441419951
0.8500000000000001,0.8,0.40697770028317837
0.9500000000000001,0.8,0.2858317350196845
1.05,0.8,0.1441487699669381
1.1500000000000001,0.8,0.047713639020618794
