% Model,SOFC - BV-MS.mph
% Version,COMSOL 6.2.0.339
% Date,"Jan 31 2024, 20:38"
% Table,Probe Table - Average Power - 
% V_cell (V),Power (W/cm^2)
0.05,0.0931066398700385
0.15000000000000002,0.24942250786431838
0.25,0.36560323240217235
0.35000000000000003,0.4441220180889274
0.45,0.48438742177202976
0.55,0.4907791132196806
0.6500000000000001,0.46336736942288875
0.7500000000000001,0.4063557523582578
0.8500000000000001,0.3243639503794884
0.9500000000000001,0.22410562917407026
1.05,0.12280764460811763
1.1500000000000001,0.04485019637968965
