% Model,SOFC - BV-MS Simulation 6.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 1 2024, 08:19"
% Table,Probe Table - Average Current Density - 
% V_cell (V),"Average cell current density (A/cm^2), Domain Probe - Average Current Density"
0.05,1.7611637374259805
0.15000000000000002,1.5729543934733747
0.25,1.3864718358712247
0.35000000000000003,1.204776921464998
0.45,1.0240044442107612
0.55,0.850877233335537
0.6500000000000001,0.68167701848714
0.7500000000000001,0.5194732116781434
0.8500000000000001,0.36609130276275187
0.9500000000000001,0.2286410161438858
1.05,0.11430945128158769
1.1500000000000001,0.03846403882955415
