% Model,SOFC - BV-MS Simulation 2.mph
% Version,COMSOL 6.2.0.339
% Date,"Jan 31 2024, 23:10"
% Table,"Solution 1/Stationary Solver 5, Segregated solver - "
% Iteration number,Error: Current Distribution,"Error: Velocity U_a, Pressure P_a",Error: Mass Fractions,"Error: Velocity U_f, Pressure P_f",Error: Mass Fractions (2)
28,4.2874098958750194E-5,3.294866352852525E-4,3.0527007902220323E-4,9.531386139942048E-4,9.931454976536353E-4
29,2.8064225466763485E-5,2.875203476610674E-4,2.744585740454101E-4,6.891087312883363E-4,8.088367453313367E-4
30,2.3493572883619615E-5,2.543611029212578E-4,2.4795306062263574E-4,5.219019615432574E-4,6.576685992944899E-4
NaN,NaN,NaN,NaN,NaN,NaN
31,0.24018060862863305,0.03633191588445825,0.0015717628005936346,0.028390203402339786,0.01587075897716573
32,6.308508410461179E-4,0.01925788196150968,0.0012092179808785273,0.014059317346819897,0.012856542127198882
33,3.697108628704841E-4,0.01056292757468653,8.53585806726291E-4,0.005546832612788131,0.009904911016589002
34,2.850958017501048E-4,0.005773398991904167,7.10853590158727E-4,0.002782320652331772,0.007637765967279129
35,2.2037149078690826E-4,0.0032460768459589167,5.922369256986248E-4,0.002638895076649254,0.0058931977957169
36,1.705265860491941E-4,0.0018122270041066699,5.322578120970073E-4,0.0025887892740631495,0.00455264333091692
37,1.3187341557979068E-4,0.00108370170804206,4.7757406308033537E-4,0.002347297444551019,0.0035189705059964064
38,1.0204923812078432E-4,7.214195873803237E-4,4.294264710383242E-4,0.0020198103739261573,0.0027208852574566347
39,7.902997699189307E-5,5.403236535658857E-4,3.8544437660655885E-4,0.00168234511198567,0.0021040652624028113
40,6.125796955400203E-5,4.4133399514009806E-4,3.4699603184453365E-4,0.0013719755311562263,0.001627044537438773
41,4.7553957536734924E-5,3.7836369047855367E-4,3.116343691673322E-4,0.0011030041417314917,0.0012580252395698337
42,3.698363128680113E-5,3.3209675358215847E-4,2.809325764898579E-4,8.783804123759057E-4,8.726619015077188E-4
43,2.3463142233602272E-5,2.9460112753321095E-4,2.525046204130363E-4,6.355437317786625E-4,7.155562171544747E-4
NaN,NaN,NaN,NaN,NaN,NaN
44,0.17583451521253518,0.041029231827238034,0.0015539548836785697,0.031415225046957374,0.016213202935960697
45,6.678178841231403E-4,0.02170235710251778,0.0011898937019759939,0.015987886286499508,0.01326263785171506
46,3.921652745200587E-4,0.011930632379188693,8.385142629027969E-4,0.006546603209926532,0.01031569863647524
47,3.063872481575441E-4,0.006519245702259832,6.970836388604261E-4,0.003193698295791036,0.008032644527721435
