% Model,SOFC - BV-MS.mph
% Version,COMSOL 6.2.0.339
% Date,"Jan 31 2024, 20:38"
% Table,Probe Table - Average Current Density - 
% V_cell (V),"Average cell current density (A/cm^2), Domain Probe - Average Current Density"
0.05,1.8621327974007698
0.15000000000000002,1.6628167190954555
0.25,1.4624129296086894
0.35000000000000003,1.2689200516826493
0.45,1.0764164928267328
0.55,0.8923256603994193
0.6500000000000001,0.7128728760352133
0.7500000000000001,0.5418076698110104
0.8500000000000001,0.3816046475052804
0.9500000000000001,0.23590066228849496
1.05,0.1169596615315406
1.1500000000000001,0.039000170764947516
