% Model,SOFC - BV-MS Simulation 3.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 1 2024, 02:18"
% Table,"Solution 1/Stationary Solver 5, Segregated solver - "
% Iteration number,Error: Current Distribution,"Error: Velocity U_a, Pressure P_a",Error: Mass Fractions,"Error: Velocity U_f, Pressure P_f",Error: Mass Fractions (2)
1,0.31310252322763,0.01494478541395224,5.700004594309574E-4,0.014522589596721269,0.008254867568437976
2,2.818448663262461E-4,0.007854361439703927,5.073341218796688E-4,0.0064037130789863774,0.006422701824051935
3,1.9156552344356474E-4,0.004185946332141145,4.5253780248439E-4,0.0023608228050632134,0.004884046700317942
4,1.46254070255376E-4,0.002283152053729561,4.048979811545776E-4,0.0012801279095910635,0.003712691740766994
5,1.1235302860862724E-4,0.001314354471390219,3.6180051782938014E-4,0.0012662622676546881,0.0028223035147673867
6,8.683853818952316E-5,8.184904265846207E-4,3.2453622663583607E-4,0.0012197456293941175,0.002146074926763407
7,6.76651711969156E-5,5.562844020465135E-4,2.905694247467077E-4,0.0010821166249213045,0.0016322876938189613
8,5.3177931621003495E-5,4.063089015806888E-4,2.6134096711626103E-4,9.121721323290384E-4,0.0012415846281726784
9,4.232041113085942E-5,3.125486098975388E-4,2.343856907402487E-4,7.453860829975466E-4,8.472567425416281E-4
10,3.0070177479441078E-5,2.4876981194092425E-4,2.1142612387180275E-4,5.461321356544409E-4,6.863738476879445E-4
11,2.5849595618682958E-5,2.0329284140174842E-4,1.8991210073602389E-4,4.1707642595678054E-4,5.551308421331183E-4
12,1.9620254062815608E-5,1.6954494808300123E-4,1.717438357778983E-4,2.7868244753517915E-4,4.913890606884513E-4
13,1.7705383662579222E-5,1.4431843284177414E-4,1.5443604064974665E-4,2.0245258594131732E-4,4.340885736124297E-4
14,1.587793847173128E-5,1.2479546217397333E-4,1.3991306541323248E-4,1.5801567915906434E-4,3.830948618178055E-4
15,1.4355780730983746E-5,1.0953610291086289E-4,1.2584665770144275E-4,1.3006925963045954E-4,3.379366037188483E-4
16,1.2877112057222771E-5,9.714580763482297E-5,1.1422663044985618E-4,1.1088544803499092E-4,2.9804292316910533E-4
17,1.1667672904746323E-5,8.697892702499855E-5,1.027504944617828E-4,9.655312069792187E-5,2.6283829258143005E-4
NaN,NaN,NaN,NaN,NaN,NaN
18,0.3900526179479435,0.03228593135382466,0.0014622084086662812,0.02640888964011622,0.015129359889205095
19,5.987815843524704E-4,0.017414369533007013,0.0011277258906900256,0.012744210887807405,0.012162037241901973
20,3.6409366428170626E-4,0.009533322849177598,7.971261833812545E-4,0.004916314681447447,0.009302538856485148
21,2.765245028266643E-4,0.005176907408382083,6.651708565321637E-4,0.0025172050061291963,0.007118392036113673
22,2.125226429400088E-4,0.002865006217008708,5.556194781506921E-4,0.002440385181160897,0.005449063001488146
23,1.6147077153585973E-4,0.00157156632674413,4.994392022448676E-4,0.0023768020918676904,0.004175706156441196
24,1.2414133705512651E-4,9.105111367399646E-4,4.497482572752159E-4,0.002133745611635157,0.003201311851937338
25,9.563107969937929E-5,5.822792527923932E-4,4.043560852664488E-4,0.0018185466650497638,0.0024548575699717906
26,7.383921214762948E-5,4.217286383575334E-4,3.645131327044876E-4,0.001501660705783409,0.0018825212052053886
27,5.721332379111643E-5,3.393722333027171E-4,3.2795528220108547E-4,0.0012151119975480954,0.0014434731021586663
28,4.451987425022332E-5,2.903427077260582E-4,2.960445660252961E-4,9.699821727054894E-4,9.929993225061627E-4
29,2.8996360252954633E-5,2.5590190502608365E-4,2.6663287731967745E-4,7.018876954228596E-4,8.092072676221268E-4
30,2.424465989051636E-5,2.2877501254309494E-4,2.4106885979302756E-4,5.320881329149756E-4,6.58376088714521E-4
NaN,NaN,NaN,NaN,NaN,NaN
31,0.24263157162265167,0.036012569573007774,0.0015755243606936518,0.02844547436101788,0.015752101405659344
32,6.297789578703407E-4,0.01936548605854417,0.0012157682281447276,0.01408138416150889,0.012763054154198645
33,3.8303705919860806E-4,0.010629441837325192,8.589630200497795E-4,0.005587752091454289,0.009842913872444197
34,2.95590937396987E-4,0.005785902938646103,7.161080544858481E-4,0.002858766745164743,0.0075962308213398015
35,2.2878179890057176E-4,0.0032172742920642972,5.97444560505271E-4,0.002716722511364482,0.005865763547942339
36,1.7701067691060077E-4,0.0017740673127285304,5.373439570514909E-4,0.002648740549826667,0.004535003272807535
37,1.3705999177816237E-4,0.0010406532958758205,4.827511356143937E-4,0.0023936467077681797,0.0035080510417375027
38,1.0619540564076818E-4,6.789479693410731E-4,4.3446991151532637E-4,0.002056834670104553,0.002714517723351655
39,8.23437740463225E-5,5.030560751082089E-4,3.9054027117272163E-4,0.0017129378335613262,0.0021007300702305357
40,6.39083514682337E-5,4.1128715750014436E-4,3.5191464007886566E-4,0.00139771538719399,0.001625686941736473
41,4.9674014501469814E-5,3.5514882605372863E-4,3.165656784267604E-4,0.0011248838400970762,0.001257916896672375
42,3.868253131730297E-5,3.1457773940211E-4,2.856240045035939E-4,8.96726897466597E-4,8.73194917847385E-4
43,2.457834250044429E-5,2.816579310325078E-4,2.5718213896439203E-4,6.491856520579385E-4,7.163916510626203E-4
NaN,NaN,NaN,NaN,NaN,NaN
44,0.17748000870130815,0.040689817699866695,0.0015688834871248186,0.03145008770561626,0.016084022543960828
45,6.660214462335007E-4,0.021815304931967976,0.0012051971305142226,0.016117371415294308,0.013158668607603797
46,4.064150859487298E-4,0.01199582442614334,8.500311168484039E-4,0.006653384412012767,0.010244324448847226
47,3.17775263940028E-4,0.006527835322363224,7.074608490422228E-4,0.0033025925885803863,0.007984009780075014
48,2.484661245721965E-4,0.003624477057559183,5.891973808606046E-4,0.0029745539111894603,0.00622734515165039
49,1.9484880187833325E-4,0.0019933075721480817,5.286653758857921E-4,0.0029014587165609815,0.004863239253669115
50,1.52430416573531E-4,0.0011667272469395248,4.7487884250347793E-4,0.0026485415928051382,0.0038004425998458664
51,1.1927861439358645E-4,7.626240062190596E-4,4.26202237433481E-4,0.002301217090426856,0.002971229876810257
52,9.335164642324664E-5,5.679414618676278E-4,3.8324829228266523E-4,0.0019375147932880223,0.002323488590984586
53,7.307392369840544E-5,4.6704768757064517E-4,3.44239405639543E-4,0.0015977275470236225,0.0018171119721427382
54,5.721507508529909E-5,4.047675416454608E-4,3.099621151482144E-4,0.0012987081381625415,0.001421065567483576
55,4.4819532705346115E-5,3.591490987734262E-4,2.786328210147422E-4,0.0010450272432490925,9.97122770743916E-4
56,2.813056475518509E-5,3.2158607651565287E-4,2.513166792104175E-4,7.620249549933275E-4,8.247473772684747E-4
57,2.3353762491494892E-5,2.8970028325233017E-4,2.2612093350796918E-4,5.836231759075461E-4,6.812291815606114E-4
NaN,NaN,NaN,NaN,NaN,NaN
58,0.1406435492878805,0.04670226899162654,0.0015131815826571649,0.035445381646231025,0.01629856720226312
59,7.086923314415661E-4,0.024977243957657432,0.0011552553062977328,0.018887315782452615,0.013478408684552601
60,4.3642843423453954E-4,0.013752778305861016,8.124209286953921E-4,0.008129363668189282,0.01060819271544511
61,3.457516917599613E-4,0.007468064909226582,6.745537988230374E-4,0.0039253033430216135,0.008359746519126625
62,2.736941685964131E-4,0.004123862585464548,5.603907127706566E-4,0.0032808615706024676,0.00659394749161919
63,2.174241936099129E-4,0.0022496072846124615,5.019539781821277E-4,0.00318349601394657,0.005208261479366179
64,1.7220610904555343E-4,0.0013042049035430876,4.499940432686393E-4,0.0029383945992639488,0.004117191020849986
65,1.3640986957277432E-4,8.475436281346709E-4,4.032034052298804E-4,0.002587246802755112,0.003256631716990095
66,1.08053900904368E-4,6.320888331776171E-4,3.618847800035965E-4,0.002206956155032244,0.0025768851587278847
67,8.558700767767503E-5,5.222232798937194E-4,3.2455835534129645E-4,0.0018423420331881355,0.0020394271273174933
68,6.778658680865088E-5,4.5427423867595146E-4,2.9173074691857145E-4,0.001515309588202414,0.0016142140409929721
69,5.368661259902818E-5,4.037394373700213E-4,2.618827708914955E-4,0.0012330741233588652,0.0012776730455674548
70,4.251958391161322E-5,3.620480605015448E-4,2.3572608143323707E-4,9.9606773187816E-4,9.07346172948001E-4
71,2.6846031269032702E-5,3.2522485023954727E-4,2.1187178038245284E-4,7.294786093630733E-4,7.573495388686906E-4
72,2.243040698580543E-5,2.9341450271550993E-4,1.910195825272769E-4,5.62271721694135E-4,6.313702919939623E-4
NaN,NaN,NaN,NaN,NaN,NaN
73,0.11693373093120513,0.054694741392378544,0.0014506927170806689,0.0401566509775383,0.016489376818381297
74,7.597869924257735E-4,0.02921982201242898,9.861823006597718E-4,0.022050945850217708,0.013788730360395803
75,4.7767722046294534E-4,0.015919402151564666,8.145845433241085E-4,0.009868257656727221,0.010986768471167807
76,3.8296592592116367E-4,0.008683082778107951,6.737902875319089E-4,0.004704999548779696,0.008765327502197544
77,3.0753645456773444E-4,0.004813067236996575,5.577561598480407E-4,0.003683338135786884,0.007001384269066094
78,2.4777911980585946E-4,0.0026199960723291556,4.984347034978304E-4,0.0035625293479591338,0.0056007205578941085
79,1.9904373925154126E-4,0.001520566245455994,4.457153603680493E-4,0.003333819360750398,0.0044846673400079085
80,1.5990268924225045E-4,9.965099032503673E-4,3.985436352945536E-4,0.002980251138826857,0.003593682784531211
81,1.2845073557635883E-4,7.526733008589037E-4,3.5684716681260456E-4,0.002579249319930317,0.002881188735743085
82,1.03172401120174E-4,6.276790567624369E-4,3.1945522808478046E-4,0.0021830815258891273,0.0023107414901305232
83,8.285655432648716E-5,5.482833865782189E-4,2.8650584238194615E-4,0.0018192113260993964,0.001853631080866881
84,6.653111244910355E-5,4.876222679254819E-4,2.567752832083416E-4,0.001499395194655524,0.0014871416794536316
85,5.34146786594432E-5,4.3677811479449804E-4,2.306546941895547E-4,0.0012265624512210903,0.001193196172389087
86,4.287884963155161E-5,3.9240029220374384E-4,2.0690921033220057E-4,9.980872956128653E-4,8.589771386268731E-4
87,2.7385204613097627E-5,3.5218198675114024E-4,1.8623619078471314E-4,7.357874315124264E-4,7.243813819420038E-4
NaN,NaN,NaN,NaN,NaN,NaN
88,0.10039517022095695,0.06578180722079835,0.0014147133756288518,0.04655213497376224,0.016617678062085986
89,8.214500695896527E-4,0.03519137785448181,9.560324688062319E-4,0.026417529730703746,0.014061119997305246
90,5.318173448285515E-4,0.019189904099198237,7.872968697252028E-4,0.012205064280820048,0.011354153676349111
91,4.3344747197589245E-4,0.010415929004584023,6.491157256674118E-4,0.005751075597981429,0.009182699936073136
92,3.547180251971543E-4,0.005493154944222391,5.78643104968638E-4,0.004234051289381257,0.007439520731476742
93,2.895284751427484E-4,0.002968437583336021,5.157977558543767E-4,0.004076666118094768,0.006035284321435288
94,2.3634224706125484E-4,0.0017379221527087985,4.5983588193807006E-4,0.0038719552018885686,0.004901810096206933
95,1.9292014885009524E-4,0.0011824638191706147,4.102801398957572E-4,0.0035184509465601707,0.003984857294817627
96,1.5745741653084232E-4,9.362118909173786E-4,3.662413922094079E-4,0.0030936862565925016,0.0032416351129984713
97,1.2849279546936897E-4,8.057391984450077E-4,3.273056479956408E-4,0.002658976146889879,0.002638335479019897
98,1.0483741630257083E-4,7.145730457535397E-4,2.9261371519714597E-4,0.0022469416281984647,0.002148091247005181
99,8.552146746838698E-5,6.390751127884166E-4,2.6195055765925205E-4,0.0018774621186826248,0.0017494063214057733
100,6.975198152591177E-5,5.728201940254405E-4,2.3449335058234856E-4,0.0015570010552969546,0.0014249928015963415
101,5.6880565859183936E-5,5.139689295425078E-4,2.102533899356222E-4,0.001284594260618661,0.0011608962503000945
102,4.637667447617722E-5,4.6150778009028225E-4,1.8840232472584555E-4,0.0010559567069898623,8.486346108968042E-4
103,3.0063804259534997E-5,4.127551632016853E-4,1.6930747987509574E-4,7.850981414112544E-4,7.239623558660918E-4
NaN,NaN,NaN,NaN,NaN,NaN
104,0.0882090071741478,0.08221501710758329,0.0013628201214307045,0.05549145904502776,0.016548506661762708
105,8.948860583392807E-4,0.04422929431975907,9.145541299555582E-4,0.0334875934431705,0.014169212867335745
106,6.035759571586451E-4,0.024129340502024005,7.500653344163118E-4,0.01638579721942241,0.011606166431173199
107,5.011793256312527E-4,0.012982296324319586,6.157046817907721E-4,0.00774233790654089,0.009525752849962179
