% Model,SOFC - BV-MS Simulation 4.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 1 2024, 21:01"
% Table,Probe Table - Average Current Density - 
% V_cell (V),"Average cell current density (A/cm^2), Domain Probe - Average Current Density"
0.05,1.7807125353272282
0.15000000000000002,1.5915551625479962
0.25,1.4011167289644728
0.35000000000000003,1.2172601118014887
0.45,1.0340649659502241
0.55,0.858815279001707
0.6500000000000001,0.68764375023905
0.7500000000000001,0.5241114643030819
0.8500000000000001,0.37049056090331495
0.9500000000000001,0.23005864957130281
1.05,0.1148501232994993
1.1500000000000001,0.038579338305302115
