% Model,SOFC - BV-MS Simulation 6.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 1 2024, 08:19"
% Table,Probe Table - Average Power - 
% V_cell (V),Power (W/cm^2)
0.05,0.08805818687129903
0.15000000000000002,0.23594315902100627
0.25,0.3466179589678062
0.35000000000000003,0.4216719225127493
0.45,0.46080199989484255
0.55,0.46798247833454537
0.6500000000000001,0.4430900620166411
0.7500000000000001,0.3896049087586076
0.8500000000000001,0.3111776073483391
0.9500000000000001,0.21720896533669154
1.05,0.12002492384566708
1.1500000000000001,0.04423364465398728
