% Model,SOFC - BV-MS Simulation 5.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 1 2024, 18:12"
% Table,"Solution 1/Stationary Solver 5, Segregated solver - "
% Iteration number,Error: Current Distribution,"Error: Velocity U_a, Pressure P_a",Error: Mass Fractions,"Error: Velocity U_f, Pressure P_f",Error: Mass Fractions (2)
1,0.32109705138121825,0.014880698224568806,5.904463362882796E-4,0.016174222573610078,0.008256614027343656
2,2.853382596853514E-4,0.007853177441200733,5.273067455142356E-4,0.007177487253100649,0.0064291491440925195
3,2.0075827972808612E-4,0.004177800112856439,4.718065069601114E-4,0.002689769479398884,0.004894756803674729
4,1.5372541942583316E-4,0.0022856776074133118,4.219387067103217E-4,0.001477717468475546,0.0037246567924268227
5,1.183484444168489E-4,0.0013184390560455814,3.780643351472196E-4,0.0013977913553909547,0.002833998761307558
6,9.170066144306734E-5,8.203777333157616E-4,3.387477917174886E-4,0.0013149579856036075,0.0021568255131315505
7,7.157776090408427E-5,5.540842550090645E-4,3.0425851323367324E-4,0.0011553931926606745,0.0016418407525206813
8,5.640939059207225E-5,4.0143355688795803E-4,2.731990098665702E-4,9.702458612174863E-4,0.00124988052179614
9,4.494078655079872E-5,3.060217729454983E-4,2.4599287775721646E-4,7.916102716684343E-4,8.534847359120758E-4
10,3.207020354538901E-5,2.426726282884741E-4,2.213778513999152E-4,5.791531130630994E-4,6.918140830583198E-4
11,2.7530050743557548E-5,1.9828603636084014E-4,1.9982424058667233E-4,4.418896264216016E-4,5.598793595793301E-4
12,2.0946331503584758E-5,1.66625888213911E-4,1.801272575702905E-4,2.949817114343343E-4,4.957264866298083E-4
13,1.8834700895812116E-5,1.434033791905053E-4,1.6292449138584475E-4,2.1410358730133256E-4,4.3807272814357215E-4
14,1.6993879473352517E-5,1.2599821163658046E-4,1.4696063604501173E-4,1.6704502996337764E-4,3.867555042748873E-4
15,1.528879195048037E-5,1.1239589049042699E-4,1.330994246139445E-4,1.375127450584292E-4,3.4129438581824044E-4
16,1.3812896385346054E-5,1.0141577375406579E-4,1.2010612050611796E-4,1.1727125719195478E-4,3.011144227503316E-4
17,1.2432036638229482E-5,9.218235182569571E-5,1.0891166232858171E-4,1.0215279048002826E-4,2.656408634612927E-4
NaN,NaN,NaN,NaN,NaN,NaN
18,0.3965986286071441,0.03200523721110334,0.001508117924496555,0.029343939285451044,0.01511210978997268
19,5.918768570775746E-4,0.017398691323473398,0.0011724913095854954,0.014234869490767766,0.012149339600657614
20,3.8342941356030543E-4,0.009539290083598018,8.308021446001777E-4,0.005512287820287934,0.00930423092126563
21,2.911781981701194E-4,0.005184558288056671,6.946972110557331E-4,0.002847753353851197,0.007127452034646815
22,2.2418347923277223E-4,0.0028640183704266666,5.814369231801238E-4,0.0026710475226153583,0.005461273747822373
23,1.7003073455093144E-4,0.0015688907355202988,5.238757344599041E-4,0.002553785234000137,0.004188909753751276
24,1.3098454306689108E-4,9.083032016531593E-4,4.718024537405707E-4,0.002275687493227061,0.0032143225876282294
25,1.0109872086462968E-4,5.835848167080605E-4,4.2531566852287297E-4,0.0019343118786014435,0.0024670198604826834
26,7.823007564792803E-5,4.293735598461375E-4,3.8329761607938727E-4,0.0015955072752156293,0.0018934949156459734
27,6.07357641565043E-5,3.529172771276253E-4,3.4594137292928186E-4,0.0012901179858413475,0.0014531277013096722
28,4.737716601148458E-5,3.085155563683551E-4,3.12044488131937E-4,0.0010290886488253303,0.0010003086109575145
29,3.0966442500088486E-5,2.77076091026716E-4,2.820844129068408E-4,7.438542100602293E-4,8.156484066170133E-4
30,2.5951478059251747E-5,2.5169373425914E-4,2.5469795204437163E-4,5.634057171326548E-4,6.640426061215859E-4
NaN,NaN,NaN,NaN,NaN,NaN
31,0.24674693059930847,0.035673302839811516,0.0016291180171655113,0.03089592072991331,0.015723709491603503
32,6.214064599445876E-4,0.019318730263483748,0.0012661609272010643,0.01531614958703183,0.012741136099198072
33,4.038442897323737E-4,0.010608738080160687,8.9741759056367E-4,0.005965905335482253,0.00983911012366725
34,3.1171859546296474E-4,0.005775701636017801,7.498933112354104E-4,0.0030641523369033747,0.007602065292260863
35,2.416551167254644E-4,0.0032059327163200396,6.270790519717381E-4,0.0029294171942144866,0.005876231873422184
36,1.8678363419124145E-4,0.0017678382385310529,5.64336695334119E-4,0.0028393479670737526,0.0045474293463908105
