% Model,SOFC - BV-MS Simulation 4.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 1 2024, 21:01"
% Table,Probe Table - Average Power - 
% V_cell (V),Power (W/cm^2)
0.05,0.08903562676636141
0.15000000000000002,0.2387332743821995
0.25,0.3502791822411182
0.35000000000000003,0.42604103913052116
0.45,0.46532923467760084
0.55,0.4723484034509389
0.6500000000000001,0.44696843765538263
0.7500000000000001,0.3930835982273114
0.8500000000000001,0.31491697676781777
0.9500000000000001,0.2185557170927377
1.05,0.12059262946447427
1.1500000000000001,0.04436623905109744
