% Model,SOFC - BV-MS Simulation 6.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 1 2024, 08:20"
% Table,"Solution 1/Stationary Solver 5, Segregated solver - "
% Iteration number,Error: Current Distribution,"Error: Velocity U_a, Pressure P_a",Error: Mass Fractions,"Error: Velocity U_f, Pressure P_f",Error: Mass Fractions (2)
1,0.32312832985312,0.0149607693027871,5.991865577203622E-4,0.016808743373847457,0.008276743905676504
2,2.862297784142711E-4,0.007904774961428607,5.359613630842781E-4,0.007414630170839837,0.006446563853405126
3,2.030583282185586E-4,0.004202084338502089,4.796418074904777E-4,0.0028450836969872925,0.004909666825724977
4,1.5558466473088113E-4,0.0022991386683073314,4.2938535890086574E-4,0.0016100690058559518,0.0037369750193795414
5,1.198566609240127E-4,0.001325931034609688,3.847073745146609E-4,0.0014825566650485524,0.0028440798713994216
6,9.291291077060717E-5,8.245865956707346E-4,3.4503426843662056E-4,0.0013705407742509756,0.002165034638837568
7,7.257196748553252E-5,5.569133815145515E-4,3.097987773103225E-4,0.001193755309350096,0.0016484862788992954
8,5.721201738674833E-5,4.035644140372913E-4,2.784726328609523E-4,9.976957569109142E-4,0.0012552330643306943
9,4.5615230398478395E-5,3.08065658404022E-4,2.5058068591071454E-4,8.117841393249823E-4,8.572854290367918E-4
10,3.25565206384104E-5,2.446396126925648E-4,2.2579253504168427E-4,5.932687780386731E-4,6.950077991437912E-4
11,2.7972798928538048E-5,2.0041104248675882E-4,2.0360852994872066E-4,4.5220561647853013E-4,5.625686843718467E-4
12,2.1255326399045316E-5,1.6881877850388803E-4,1.8381764761002183E-4,3.0177565911789026E-4,4.981481400352057E-4
13,1.9141527116293453E-5,1.4574170204015766E-4,1.6603398360561346E-4,2.1893383350229422E-4,4.402624384202731E-4
14,1.7245285876778425E-5,1.2837654024829668E-4,1.5003799335260511E-4,1.707310963277143E-4,3.887372580825721E-4
15,1.554342770892134E-5,1.1481464114701807E-4,1.3563702976888205E-4,1.4048294204959522E-4,3.4308642547430297E-4
16,1.4015212905503857E-5,1.0379245373830889E-4,1.226614804457261E-4,1.1975102537311623E-4,3.027329835283658E-4
17,1.2642080391430792E-5,9.449493095161093E-5,1.1096184281012925E-4,1.0426678540893673E-4,2.671004733308607E-4
NaN,NaN,NaN,NaN,NaN,NaN
18,0.3982755261067782,0.03210257216579874,0.001533353587061008,0.03123636237779685,0.015141493641890593
19,5.90213075965119E-4,0.017483453552798147,0.0011947944207968985,0.015163525358091928,0.012174525509712014
20,3.882607285648568E-4,0.009589609653743305,8.475426128845106E-4,0.006107105739513207,0.009326464534408045
21,2.9482036281037495E-4,0.005215312330096791,7.09156642174366E-4,0.0032478138272621507,0.00714650142286659
22,2.2708586691627523E-4,0.002882709071570033,5.93873447915786E-4,0.0028818800842024747,0.005477327160547308
23,1.7215325111431533E-4,0.0015805271058666295,5.351097236532831E-4,0.0026784271466728316,0.004202262461164652
24,1.326840318491359E-4,9.16352394609495E-4,4.82181829139304E-4,0.0023584968956759764,0.003225334422503314
25,1.0246329773739976E-4,5.907241849597389E-4,4.3462189475275496E-4,0.001992978545685684,0.0024760465077759996
26,7.932502876219714E-5,4.368452922710373E-4,3.919367028142671E-4,0.0016383506484773638,0.001900856103695699
27,6.162163449459544E-5,3.610102993471426E-4,3.536290792511781E-4,0.0013215430696380457,0.0014591027187514048
28,4.809164512255681E-5,3.169724812144886E-4,3.1923306301974257E-4,0.00105217769332575,0.0011197721380370568
29,3.7765190664699905E-5,2.8574168157595973E-4,2.8832561136775116E-4,8.302461412364176E-4,7.706410385465993E-4
30,2.52824604775716E-5,2.6019572981784896E-4,2.606088462558741E-4,5.963713098158104E-4,6.282742345606467E-4
NaN,NaN,NaN,NaN,NaN,NaN
31,0.24780994113626606,0.035746827339203806,0.0016576205194578904,0.033892117510047316,0.01577061779555569
32,6.196294327965134E-4,0.01938773816669148,0.0012911268888142087,0.01671573004992228,0.012777699430324396
33,4.0938625924345404E-4,0.010651882528177163,9.159508644095788E-4,0.006793841874193683,0.009870386970017336
34,3.159966370112967E-4,0.005803356227185449,7.658280674976396E-4,0.0035922958701855297,0.007628295978355796
35,2.450620871292853E-4,0.003223793941650064,6.407139695800781E-4,0.0031953283271890618,0.005898026707699195
36,1.8937062531907076E-4,0.001779837110867629,5.768688330154481E-4,0.002992843528262263,0.004565462045513801
37,1.4694058336725226E-4,0.0010489229794474289,5.194115391097094E-4,0.002657863112661634,0.003535777275047639
38,1.1409305860363791E-4,6.952017538965058E-4,4.6781506293660927E-4,0.002265745685139115,0.0027391382704077456
39,8.865597027108122E-5,5.291351772404286E-4,4.215351975694214E-4,0.0018789754233836634,0.002122191517890139
40,6.896139204746858E-5,4.4552767007346143E-4,3.800273399485897E-4,0.0015288681745034007,0.0016441278013353605
41,5.3720925313632324E-5,3.946727110426035E-4,3.4278267856656955E-4,0.0012276630619401916,0.001273582187147374
42,4.193596659377037E-5,3.5702000963205226E-4,3.0933864591495985E-4,9.768413732075885E-4,8.848102061166506E-4
43,2.6759098640236633E-5,3.253614197068138E-4,2.7937810059560286E-4,7.064405480528071E-4,7.264873693816141E-4
44,2.2275341470838035E-5,2.975278770094217E-4,2.523925010217251E-4,5.361751260499007E-4,5.956259176672531E-4
NaN,NaN,NaN,NaN,NaN,NaN
45,0.18098737546038027,0.040339957519601254,0.0016253937858493888,0.036455359554930795,0.016001971664845575
46,6.511507124492101E-4,0.021796744426202545,0.001259483049116231,0.018378176299132118,0.013095048358867604
47,4.3234855386207056E-4,0.011993026641972177,8.915452978068302E-4,0.007481428241304695,0.010212831400134417
48,3.3829205802570313E-4,0.0065290204655888895,7.440176849436302E-4,0.0038011080169910185,0.007970952936200886
49,2.650026658552082E-4,0.003618190950866404,6.212167325227777E-4,0.003408399205911467,0.0062253549115933796
50,2.0772829012421874E-4,0.001989835210361276,5.58511507679615E-4,0.0032613340658627643,0.004868049515051385
51,1.6281611817636576E-4,0.001168572869133228,5.021604011895955E-4,0.00294111019714239,0.003809065344879475
52,1.2764250025066248E-4,7.747181026883885E-4,4.516376506539545E-4,0.0025387901384042954,0.0029816641883349286
53,1.000833634410372E-4,5.922790820848895E-4,4.063959852782933E-4,0.002128923578894316,0.0023344690571042576
54,7.848954212870175E-5,5.010656723472563E-4,3.6588724521163216E-4,0.0017507381020844045,0.0018278666855782168
55,6.15734335623245E-5,4.4511160302494946E-4,3.29599489170122E-4,0.001420012125017431,0.001431157798259024
56,4.832636305063738E-5,4.0303927291343E-4,2.9706812721693636E-4,0.0011408866841838828,0.0011204371835952063
57,3.795708596297585E-5,3.674628381040129E-4,2.678788165835941E-4,9.106554756169366E-4,7.867051820164712E-4
58,2.4006295258348753E-5,3.355180442604689E-4,2.4175501335129914E-4,6.610870117368217E-4,6.511333072649016E-4
NaN,NaN,NaN,NaN,NaN,NaN
59,0.14310585988570415,0.046261475206978105,0.0015890508908909073,0.03931665337866163,0.016236812108315922
60,6.930381048696058E-4,0.024920110989339314,0.0012243604908095133,0.02048217813460834,0.013431738237835208
61,4.6522349431105234E-4,0.013732123043201134,8.644570684635225E-4,0.008482687915940182,0.010589069545221893
62,3.6893771004019207E-4,0.007463935366772282,7.198015810521415E-4,0.004195147504357951,0.008356840125179656
63,2.9257481451812464E-4,0.004120063769586617,5.995789361515818E-4,0.003715759711185775,0.006601028717472867
64,2.3243600131448412E-4,0.0022519770252058275,5.381005157887709E-4,0.003601321649760705,0.005220961001747552
65,1.8441896594347323E-4,0.001315142840127777,4.829563594919435E-4,0.0032929242530928223,0.004132574763518304
66,1.4633103115946537E-4,8.722499748820458E-4,4.336167866811028E-4,0.0028790962676392877,0.0032728405184061123
67,1.1610547079241704E-4,6.714200041735381E-4,3.8952696033618347E-4,0.002444591822263473,0.002592820039929057
68,9.211720115422134E-5,5.720313917595786E-4,3.5013249898686627E-4,0.002034759211797633,0.0020544629038603004
