% Model,SOFC - BV-MS Simulation 2.mph
% Version,COMSOL 6.2.0.339
% Date,"Jan 31 2024, 23:10"
% Table,Probe Table - Average Power - 
% V_cell (V),Power (W/cm^2)
0.05,0.09125844226061526
0.15000000000000002,0.24455579640469216
0.25,0.3590741958475654
0.35000000000000003,0.4358342310965902
0.45,0.47560865546132075
0.55,0.48224973479572303
0.6500000000000001,0.45574315755153916
0.7500000000000001,0.4001637951947709
0.8500000000000001,0.3199449097095106
0.9500000000000001,0.22152397612516275
1.05,0.12176037665449434
1.1500000000000001,0.044607726559193685
