% Model,SOFC - BV-MS Simulation 3.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 1 2024, 02:18"
% Table,Probe Table - Average Current Density - 
% V_cell (V),"Average cell current density (A/cm^2), Domain Probe - Average Current Density"
0.05,1.8001363191378068
0.15000000000000002,1.6085083936998459
0.25,1.4175174898241798
0.35000000000000003,1.2294574187352376
0.45,1.044003271223983
0.55,0.8666338851238591
0.6500000000000001,0.6934974612606688
0.7500000000000001,0.5282040669358894
0.8500000000000001,0.3730534936938898
0.9500000000000001,0.23143617589177234
1.05,0.11531951476105835
1.1500000000000001,0.038661460407520144
