% Model,SOFC - BV-MS Simulation 2.mph
% Version,COMSOL 6.2.0.339
% Date,"Jan 31 2024, 23:10"
% Table,Probe Table - Average Current Density - 
% V_cell (V),"Average cell current density (A/cm^2), Domain Probe - Average Current Density"
0.05,1.825168845212305
0.15000000000000002,1.630371976031281
0.25,1.4362967833902616
0.35000000000000003,1.2452406602759718
0.45,1.0569081232473794
0.55,0.8768176996285872
0.6500000000000001,0.70114331931006
0.7500000000000001,0.5335517269263611
0.8500000000000001,0.376405776128836
0.9500000000000001,0.2331831327633292
1.05,0.11596226348047078
1.1500000000000001,0.03878932744277711
