% Model,SOFC - BV-MS Simulation 5.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 1 2024, 18:11"
% Table,Probe Table - Average Current Density - 
% V_cell (V),"Average cell current density (A/cm^2), Domain Probe - Average Current Density"
0.05,1.7672717014261723
0.15000000000000002,1.5798226902327948
0.25,1.3910586979452964
0.35000000000000003,1.2088154807366478
0.45,1.0271701444643255
0.55,0.853379349488486
0.6500000000000001,0.6835603591610089
0.7500000000000001,0.521246781754474
0.8500000000000001,0.3669503268699619
0.9500000000000001,0.22910179112809703
1.05,0.11449180107080285
1.1500000000000001,0.0385069425597879
