% Model,SOFC - BV-MS Simulation 5.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 1 2024, 18:12"
% Table,Probe Table - Average Power - 
% V_cell (V),Power (W/cm^2)
0.05,0.08836358507130862
0.15000000000000002,0.23697340353491927
0.25,0.3477646744863241
0.35000000000000003,0.4230854182578268
0.45,0.4622265650089465
0.55,0.46935864221866735
0.6500000000000001,0.44431423345465587
0.7500000000000001,0.39093508631585555
0.8500000000000001,0.31190777783946766
0.9500000000000001,0.21764670157169216
1.05,0.120216391124343
1.1500000000000001,0.04428298394375609
