% Model,i0ref search.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 2 2024, 17:00"
% Table,Probe Table - Average Current Density - 
% V_cell (V),i0ref_f (A/cm^2),i0ref_a (A/cm^2),"Average cell current density (A/cm^2), Domain Probe - Average Current Density"
0.9500000000000001,0.4,12,0.2906179447758192
1.05,0.4,12,0.14034878649617477
1.1500000000000001,0.4,12,0.043460288511008964
0.05,0.6,8,2.2069492672538815
0.15000000000000002,0.6,8,2.0167754573701733
0.25,0.6,8,1.7910338035098832
0.35000000000000003,0.6,8,1.5659884083318671
0.45,0.6,8,1.3452544030634563
0.55,0.6,8,1.1254986403830056
0.6500000000000001,0.6,8,0.9116071398131018
0.7500000000000001,0.6,8,0.7032990746915394
0.8500000000000001,0.6,8,0.5034356722112243
0.9500000000000001,0.6,8,0.3150073440673832
1.05,0.6,8,0.14392015231938898
1.1500000000000001,0.6,8,0.04300788091581997
0.05,0.6,10,2.2108000375929384
0.15000000000000002,0.6,10,2.0169485942667
0.25,0.6,10,1.791469000471028
0.35000000000000003,0.6,10,1.5663860497290776
0.45,0.6,10,1.345549726960407
0.55,0.6,10,1.1256841900780556
0.6500000000000001,0.6,10,0.9116955941368262
0.7500000000000001,0.6,10,0.703308141897216
0.8500000000000001,0.6,10,0.5033865092725938
0.9500000000000001,0.6,10,0.31241746474411575
1.05,0.6,10,0.14400495846085418
1.1500000000000001,0.6,10,0.043007354038686156
0.05,0.6,12,2.212741192128045
0.15000000000000002,0.6,12,2.0180118604006894
0.25,0.6,12,1.791930510981622
0.35000000000000003,0.6,12,1.5666613358011385
0.45,0.6,12,1.3457182139798771
0.55,0.6,12,1.125763447990577
0.6500000000000001,0.6,12,0.911700268312242
0.7500000000000001,0.6,12,0.7032537567735174
0.8500000000000001,0.6,12,0.50329171277541
0.9500000000000001,0.6,12,0.30200103985272514
1.05,0.6,12,0.1440799407961299
1.1500000000000001,0.6,12,0.04303745863105516
0.05,0.8,8,2.22699554656414
0.15000000000000002,0.8,8,2.0473437349869763
0.25,0.8,8,1.818738347143629
0.35000000000000003,0.8,8,1.5938711469471638
0.45,0.8,8,1.3704792705382915
0.55,0.8,8,1.1489770226098124
0.6500000000000001,0.8,8,0.9333118435623816
0.7500000000000001,0.8,8,0.7218673467090074
0.8500000000000001,0.8,8,0.5193912980047494
0.9500000000000001,0.8,8,0.32897973042410955
1.05,0.8,8,0.14607532772807905
1.1500000000000001,0.8,8,0.04294820965245273
0.05,0.8,10,2.2305320937535646
0.15000000000000002,0.8,10,2.0477874167053796
0.25,0.8,10,1.819249170644441
0.35000000000000003,0.8,10,1.5943004375108683
0.45,0.8,10,1.3707941268818566
0.55,0.8,10,1.149180169797566
0.6500000000000001,0.8,10,0.933419392657668
0.7500000000000001,0.8,10,0.7218972798391118
0.8500000000000001,0.8,10,0.519363612987429
0.9500000000000001,0.8,10,0.32686692174462323
1.05,0.8,10,0.14611970809410918
1.1500000000000001,0.8,10,0.04294766561409827
0.05,0.8,12,2.232632196285775
0.15000000000000002,0.8,12,2.047239152737732
0.25,0.8,12,1.8193848991278476
0.35000000000000003,0.8,12,1.5945191817992757
0.45,0.8,12,1.3709596091567098
0.55,0.8,12,1.1492678746589071
0.6500000000000001,0.8,12,0.9334362025362664
0.7500000000000001,0.8,12,0.721857338204495
0.8500000000000001,0.8,12,0.5192848756103835
0.9500000000000001,0.8,12,0.32445110961144963
1.05,0.8,12,0.1461766803401675
1.1500000000000001,0.8,12,0.04291643309987035
