% Model,i0ref search.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 2 2024, 17:01"
% Table,"Solution 1/Stationary Solver 5, Segregated solver - "
% Iteration number,Error: Current Distribution,"Error: Velocity U_a, Pressure P_a",Error: Mass Fractions,"Error: Velocity U_f, Pressure P_f",Error: Mass Fractions (2)
65,7.668834232292944E-5,5.969464554760554E-4,1.5752170998648254E-4,0.0016147770614757173,0.002599336717345459
66,6.618693280358822E-5,4.7896262838211586E-4,1.5455041173295715E-4,0.0014135786063391056,0.002245172805938797
67,5.712066750814927E-5,4.065231146794986E-4,1.5161889579620123E-4,0.0012316175018848342,0.0019394924157644922
68,4.929309105767613E-5,3.622685935468269E-4,1.4873686350492363E-4,0.0010700133838597726,0.0016755806698046248
69,4.25351215966891E-5,3.3426717539623466E-4,1.4590562739890428E-4,9.279791649877814E-4,0.0014476756396713075
70,3.670128685478492E-5,3.151781656290741E-4,1.4312570741519215E-4,8.039534803841213E-4,0.001250828759633
71,3.1666202170702005E-5,3.0092309894419846E-4,1.4039924838197293E-4,6.960914588626648E-4,9.694155753952737E-4
NaN,NaN,NaN,NaN,NaN,NaN
72,0.134233882134518,0.03689814975766117,3.1575557299094747E-4,0.035085795784183596,0.011356621737721314
73,4.342807415272983E-4,0.02065600405971688,3.042266349852063E-4,0.017780837483316065,0.010107195547255317
74,2.6674610622992156E-4,0.012301814670285877,2.974031411538374E-4,0.007968352059964412,0.008735081278969608
75,2.3024691967206363E-4,0.007774311320508049,2.919083874300764E-4,0.0036283704350234596,0.007562168131093162
76,1.997524005879648E-4,0.005162155005690141,2.869270260142186E-4,0.0025529210211865396,0.006556480468967573
77,1.735779151013947E-4,0.0035375271521130036,2.821535521578955E-4,0.0025729990187869562,0.00569175778184764
78,1.509450595200653E-4,0.0024704198101070155,2.7741084258417194E-4,0.0025783138830108607,0.004945635829498782
79,1.3130514598991947E-4,0.0017514591505493318,2.7268257717913386E-4,0.0024609536132237223,0.004299910117744139
80,1.1423393879314469E-4,0.001266869696899751,2.6797355167389994E-4,0.0022680973661517246,0.003739976512423598
81,9.938475037854134E-5,9.468469684277267E-4,2.632737396302511E-4,0.0020456092844148995,0.003253852446945279
82,8.646394476743521E-5,7.432453023462456E-4,2.5858669962028E-4,0.0018208754101460083,0.0028315214319255583
83,7.521952717168906E-5,6.194739903583227E-4,2.539262387511589E-4,0.0016078997471562515,0.0024644455821888713
